term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
GM3,GD000093,G91237TK,We also demonstrated an essential role of GM3 in murine and human auditory systems; a common pathological feature of GM3S deficiency is deafness. [PMID: 29747813],29376491|29747813|25613425|30318083|31526872|31004109|28019668|26434718|27313500|27539856|30111401|28544772|29407985|19364317|30190430|31297734|30091781|26043887|32183071|30665141|27873002|25801320|30209782|32378734|23050851|22768242|14993837|24934090|17638075|21518140|26102277|19759399|24502144|25303960|23564406|16636105|16491123|11259118|15102521|12724312|24985965|8496625|25403557|15690123|15939439|25893133|23591593|20634908|2004380|739008|,"Ganglioside GM3 (d18:1/16:0) is a glycosphingolipid (ceramide and oligosaccharide)or oligoglycosylceramide with one or more sialic acids (i.e. n-acetylneuraminic acid) linked on the sugar chain. It is a component the cell plasma membrane which modulates cell signal transduction events. Gangliosides have been found to be highly important in immunology. Ganglioside GM3 carries a net-negative charge at pH 7.0 and is acidic. Gangliosides can amount to 6% of the weight of lipids from brain, but they are found at low levels in all animal tissuesGangliosides are glycosphingolipids. There are four types of glycosphingolipids, the cerebrosides, sulfatides, globosides and gangliosides. Gangliosides are very similar to globosides except that they also contain N-acetyl neuraminic acid (NANA) in varying amounts. The specific names for the gangliosides provide information about their structure. The letter G refers to ganglioside, and the subscripts M, D, T and Q indicate that the molecule contains mono-, di-, tri and quatra-sialic acid. The numbered subscripts 1, 2 and 3 refer to the carbohydrate sequence that is attached to the ceramide. In particular, 1 stands for GalGalNAcGalGlc-ceramide, 2 stands for GalNAcGalGlc-ceramide and 3 stands for GalGlc-ceramide. Deficiencies in lysosomal enzymes that degrade the carbohydrate portions of various gangliosides are responsible for a number of lysosomal storage diseases such as Tay-Sachs disease, Sandhoff disease, and GM1 gangliosidosis. The carbohydrate portion of the ganglioside GM1 is the site of attachment of cholera toxin, the protein secreted by Vibrio cholerae.[HMDB0004844]",GlycoMotif:GGM.000090|CID:5288424|CHEBI:59226|GlycoEpitope:EP0053|SugarBind_Ligand:35,GlycoMotif:GGM.000090|GTC:G91237TK|CID:5288424|CHEBI:59226|GlycoEpitope:EP0053|SugarBind_Ligand:35,,Membrane stabilizer|Energy source|Energy storage|Molecular messenger:|Signaling molecule[HMDB0004844],Gastroenteritis[SugarBind_Ligand:35]|Chronic gastritis[SugarBind_Ligand:35]|Toxoplasmosis[SugarBind_Ligand:35]|Peptic ulcerSugarBind_Ligand:35]|Gastric cancer[SugarBind_Ligand:35]|Influenza[SugarBind_Ligand:35]|Diarrhea[SugarBind_Ligand:35]|Botulism[SugarBind_Ligand:35],,NBK453032
GM4,GD000094,G30207PZ,"GM4 is synthesized by the sialylation of galactosylceramide (GalCer), while the ganglioside GM3 is synthesized by the sialylation of lactosylceramide (LacCer).[PMID:23999868]",23999868|2332419|12091485|19542236|8407875|23320941|28808804|3621237|23203271|7057115|26362868|6170387|18034482|7076644|2391348|25464080|3701369|11217952|6201236|30744426|9388026|27177620|30246056|15979459|7586078|6779816|29402905|7335153|3306476|17499534|7074082|9668345|3701884|26862430|6831238|27311552|26831445|24417799|7097284|4169231|16854400|26483798,"An amino disaccharide consisting of β-D-galactose having an α-N-acetylneuraminyl residue attached at the 3-position
[CHEBI:63155]",GlycoMotif:GGM.000089|CID:5289366|CHEBI:63155|KEGG:G00317|SugarBind_Ligand:110,GlycoMotif:GGM.000089|GTC:G30207PZ|CID:5289366|CHEBI:63155|KEGG:G00317|SugarBind_Ligand:110,,,Chronic gastritis[SugarBind_Ligand:110]|Peptic ulcers[SugarBind_Ligand:110]|Gastric cancer[SugarBind_Ligand:110],,NBK453016|NBK453095|NBK453018|NBK453082|
GP1c,GD000095,G93805MV,"n this report, we describe an efficient convergent synthesis of the GP1c glycolipid epitope, which is one of the most complex c-series gangliosides. [PMID:19053458]",1606358|19053458|1695858|4091974|10775425|2468656|2299350|3064875|11432974|9613831|11831845|1879553|10699494|8969459|8474578|12031286|1304332|9153001|10564776,,GlycoMotif:GGM.000118,GlycoMotif:GGM.000118|GTC:G93805MV,,,,,NBK453016|NBK453023|NBK453042|NBK453088|/NBK453073|NBK453076|NBK453041
GQ1b,GD000096,G18625KA,Bilateral infusion of GQ1b into the hippocampus ameliorates cognitive deficits in the triple-transgenic AD mouse model (3xTg-AD).[PMID:31186474],30798387|31186474|26704905|23677659|26984947|24184316|23804237|9819299|18514410|22189683|24859332,"An amino oligosaccharide that is a branched octasaccharide derivative consisting of four sialyl residues, two galactose residues, one N-acetylglucosamine and a glucose residue at the reducing end.[CHEBI:59212]",GlycoMotif:GGM.000115|GlycoEpitope:EP0069|CID:45266843|KEGG:G00117|CHEBI:59212,GlycoMotif:GGM.000115|GTC:G18625KA|GlycoEpitope:EP0069|CID:45266843|KEGG:G00117|CHEBI:59212,,,,,NBK453016
GQ1ba,GD000097,G54733XO,A few studies have reported the association of autoantibodies to GM1 or GQ1bα with Alzheimer's disease (AD) or vascular dementia.[PMID:25024341],25024341|23717411|17870542|10702226|21137678|26748510|8662799|21274438|24649890|16580208|28124591|20095613|17507233|23565921|14505645|20930939|9201997,,GlycoMotif:GGM.000116,GlycoMotif:GGM.000116|GTC:G54733XO,GQ1balpha,,,,
GQ1c,GD000098,G99524KA,"The neural specific monoclonal antibody A2B5 was found to interact with GQ1c but not with Gq1b, nor did it interact with other glycolipids such as GM1, GD1a, GD1b, GT1a, GT1b and GA1.[PMID: 6640289]",6640289|1695858|7798936|1729139|2468656|20368669|2723647|1814411|3064875|6085330|1613492|17883393|11831845|10775425|8219015|8804704|1384262|7066685|2299192|9613831|10350354|1304337|9153001|11959025|8474578|2299350|10564776|10699494|3942818|12031286|7361620,Alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)-[alpha-Neu5Ac-(2->3)-beta-D-Galp-(1->3)-beta-D-GalpNAc-(1->4)]-beta-D-Galp-(1->4)-beta-D-Glcp is a member of neuraminic acids and an amino octasaccharide.[CID:91860352],GlycoMotif:GGM.000117|CID:91860352|CHEBI:145645|KEGG:G00121,GlycoMotif:GGM.000117|GTC:G99524KA|CID:91860352|CHEBI:145645|KEGG:G00121,,,,,NBK453044
GT1a,GD000099,G68110IF,"GT1a mimicry was found in the lipo-oligosaccharides of strain ICDCCJ07002 and ICDCCJ07004; but a combination of GM3/GD3 mimics was observed in ICDCCJ07001, although this patient had anti-GT1a IgG antibodies.[PMID:26197476]",12023422|32623212|26197476|9585812|29747820|23804237|11993188|31683059|19631994|9742882|29709941|8971119|8706663|893404|31829433|8910600|30600291|29319803|26176883|29063860|6766128|31602715|29808463|30711390|29847988|30116054|28187751,"A branched heptasaccharide derivative consisting of three sialyl residues, two galactose residues, one N-acetylglucosamine and a glucose residue at the reducing end.[CHEBI:59215]",CID:45266863|GlycoMotif:GGM.000110|GlycoEpitope:EP0066|KEGG:G00112|CHEBI:59215,CID:45266863|GlycoMotif:GGM.000110|GTC:G68110IF|GlycoEpitope:EP0066|KEGG:G00112|CHEBI:59215,,,,,
GT1a alpha,GD000100,G02149VR,"A new class of gangliosides, GT1a alpha and GQ1b alpha, were initially identified as cholinergic neuron-specific antigens in bovine brain. [PMID:8082783]",7710562|8082783|10972137|9468624|9143254|8221098|9679279|11368158|11878808,,GlycoMotif:GGM.000111|GlycoEpitope:EP0111|CID:91851751|CHEBI:156678|KEGG:G00128,GlycoMotif:GGM.000111|GTC:G02149VR|GlycoEpitope:EP0111|CID:91851751|CHEBI:156678|KEGG:G00128,GT1aa,GT1a alpha was a cholinerginic-specific antigen.[GlycoEpitope:EP0111],,,
GT1b,GD000101,G40183QN,GT1b ganglioside is axonally transported to the spinal cord dorsal horn and contributes to characteristics of neuropathic pain such as mechanical and thermal hypersensitivity.[PMID: 32030804],32030804|26370787|32046393|9712688|7636307|9931455|25520869|19605473|17188834|10233751|22735313|20540782|22746533|1861141|19490186|9521848|11921200|10731661|31431523|15274627|32726962|12573517|18277613|11370834|11234774|11123278|18704164|16291967|11411041|27549393|25253868|22720883|10686582|11511306|29904724|31472390|19156870,"A branched amino heptasaccharide comprising a β-D-galactosyl-(1→4)-β-D-glucose disaccharide, the galactosyl residue of which carries an N-acetyl-α-neuraminyl-(2→3)-β-D-galactosyl-(1→3)-N-acetyl-β-D-galactosaminyl trisaccharide unit and an N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl disaccharide unit through (2→4) and (2→3) linkages respectively. It corresponds to the carbohydrate portion of ganglioside GT1b.[CHEBI:59225]",GlycoMotif:GGM.000112|GlycoEpitopeEP0067|CID:45266781|CHEBI:59225|GlycoGlycoEpitope:130680|SugarBind_Ligand:26|KEGG:G00116,GlycoMotif:GGM.000112|GTC:G40183QN|GlycoEpitopeEP0067|CID:45266781|CHEBI:59225| GlycoGlycoEpitope:130680|SugarBind_Ligand:26|KEGG:G00116,,,Toxoplasmosis[SugarBind_Ligand:26]|Lyme disease[SugarBind_Ligand:26]|Cholera[SugarBind_Ligand:26]|Botulism[SugarBind_Ligand:26]|Tetanus[SugarBind_Ligand:26]|Influenza[SugarBind_Ligand:26],,
GT1c,GD000102,G78818SP,"We show here that VVH associates with ganglioside GM1a, Fucosyl-GM1, GD1a, GT1c, and GD1b by glycan array.[PMID: 32228455]",28088450|30085356|32228455|2468656|19841910|23877172|1695858|10564776|1613492|8474578|7798936|11180643|2723647|7066685|9613831|7361620|10699494,"A branched amino heptasaccharide consisting of a linear tetrasaccharide of β-D-galactose, N-acetyl-β-D-galactosamine, β-D-galactose and β-D-glucose residues linked sequentially (1→3), (1→4) and (1→4), to the galactose residue proximal to the reducing end is also linked (2→3) an N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl-(2→8)-N-acetyl-α-neuraminyl trisaccharide side-chain. The carbohydrate moiety of ganglioside GT1c.[CHEBI:90509]",GlycoMotif:GGM.000113|CID:91846734|CHEBI:90509|GlycoEpitope:EP0033|KEGG:G00120,GlycoMotif:GGM.000113|GTC:G78818SP|CID:91846734|CHEBI:90509|GlycoEpitope:EP0033|KEGG:G00120,,,,,
GT2,GD000103,G36476BA,"Biosynthesis of the c-series gangliosides GT3, GT2 and GP1c was studied in Golgi derived from rat liver.[PMID:1606358]",1606358|15498585|16005859|27540730|31533196|31201844,"A branched amino hexasaccharide consisting of a chain of three α-sialyl residues, a β-D-galactosyl residue and a β-D-glucose residue linked sequentially (2→8), (2→8), (2→3) and (1→4), to the galactosyl residue of which is also linked (1→4) an N-acetyl-β-D-galactosaminyl residue. The carbohydrate moiety of ganglioside GT2.[CHEBI:72446]",GlycoMotif:GGM.000109|CID:70788971|CHEBI:72446|KEGG:G00119,GlycoMotif:GGM.000109|GTC:G36476BA|CID:70788971|CHEBI:72446|KEGG:G00119,,,,,NBK453016
GT3,GD000104,G93899SO,The purpose of this study was two-fold: (1) to formulate γ-tocotrienol (GT3) in a nanoemulsion formulation as a prophylactic orally administered radioprotective agent; and (2) to optimize the storage conditions to preserve the structural integrity of both the formulation and the compound.[PMID: 28029115],28029115|31355968|30987413|27869747|27216753|8631981|29672891|10385047|29642403|10412028|27193023|30068561|23415908|8858920|2303428|27153057|27128741|2654294|26930378|7561885|25860286|30845647|24712339|30070965|8910600|1606358|27356050|8514740|18509108|23000517|29769046|29566611,"A linear amino pentasaccharide consisting of a chain of three α-sialyl residues, a β-D-galactosyl residue and a β-D-glucose residue linked sequentially (2→8), (2→8), (2→3) and (1→4).[CHEBI:72444]",GlycoEpitope:EP0070|KEGG:G00118|CID:70788970|GlycoMotif:GGM.000092|CHEBI:72444,GlycoEpitope:EP0070|KEGG:G00118|CID:70788970|GlycoMotif:GGM.000092|GTC:G93899SO|CHEBI:72444,,,,,NBK453016
H type 3,GD000105,,"The expression of type 3 chain H and A antigens was always compatible with the ABO blood type of the individual and seems to be regulated by the secretor genes, as secretors [Lewis (a-b+)] expressed more A and H type 3 chains than nonsecretors [Lewis (a+b-)].[PMID:1563908]",1563908|3944092|11218748|11101633|18842005|27550195|2469783|2433836|23118206|8445257|2664192|3063304,,,,H antigen (type 3)|Type 3 chain H,,,,NBK453016
Heparan sulfate,GD000106,,"In Niemann-Pick C-1 fibroblasts, where deaminative degradation of heparan sulfate is defective, carbonylated proteins were abundant.[PMID: 17540770]",32266657|29554552|29032302|30003471|25197032|28538085|26236728|22899865|17080204|23042481|28982096|24146040|25081076|15719168|17453622|25325954|21110089|29797526|21967329|23313092|11212344|28465034|11746174|12512855|8836040|28394734|24182748|28264929|28745308|26555370|14718374|16767693|25246018|19584012|8274190|25034023|8370471|26571620|29920400|31731076|20816205|16880267|31547957|11457867|27241222|28718936|21204109|31016560|11166215|11457866,A linear polysaccharide in which the backbone consists of a variably sulfated repeating disaccharide unit.[CHEBI:28815],CHEBI:28815|CID:53477715|GlycoEpitope:EP0086,CHEBI:28815|CID: 53477715|GlycoEpitope: EP0086,Heparan N-sulfate|Heparan sulfate|Heparan sulphate|Heparatan sulfate|Heparin monosulfate| Heparin sulfate|Heparitin monosulfate|Heparitin sulfate|N-Acetylheparan sulfate,"Heparan sulfate proteoglycans (HSPGs) play crucial roles regulating key developmental signaling pathways, such as the Wnt, Hedgehog, transforming growth factor-beta, and fibroblast growth factor pathways.[GlycoEpitope: EP0086]",,,NBK453042
Heparin,GD000107,,"Two cellulose-based membranes, containing 5 and 20% N, N-diethyl-aminoethyl cellulose (DEAE) respectively, were investigated for ionic attachment of heparin and heparin release.[PMID:6416324]",27100512|22566218|27264866|30094590|31077659|26975675|2083874|25088334|3333067|2191809|28118750|28224913|22495506|29385025|10332503|22393937|19947315|27655335|14529394|2419035|22048616|23849978|10204652|28958760|12627673|9042555|15639107|28880550|27238483|1964668|16716101|10796377|25981976|24680753|2191118|21166465|30582884|1322434|15330727|9752370|6416324|14996629|20452241|1340407|29050610|345399|6916469|6565376|26714061,"A highly sulfated linear glycosaminoglycan comprising complex patterns of uronic acid-(1→4)-D-glucosamine repeating subunits. Used as an injectable anticoagulant, it has the highest negative charge density of any known biological molecule.[CHEBI:28304]",CID:772|CHEBI:28304,CID:772|CHEBI:28304,bemiparin|bemiparin|certoparin|Cy 222|enoxaparin|fluxum|Heparin|Heparinic acid|parnaparin|reviparin|sandoparin,,,,
High mannose,GD000108,G55220VL,Each glycoform contained a number of peaks differing by 162 Da indicating heterogeneity and suggesting the presence of high-mannose sugars.[PMID:11258925],11258925|17956937|2059624|2065054|26791533|4077844|7780197|9136890|30659065|30075362|21421994|31076349|29738673|29508223|26747427|30634645|23007868|29051951|24549150|12417032|26724786|26956389|26493153|31102532|29673624|8348230|25586968|24975601|29803109|28465212|25776945|30151520|21097542|24326091|27995699|26003537|6722291|2925680|25565276|21460211|25196214|27387600|22373601|3729933|16423983|24174266|30605318,An N-linked oligosaccharide that possesses between five and nine mannose residues attached to the chitobiose [(GlcNAc)2] core. [CHEBI:5717] None of the Man residues are substituted with any monosaccharide other than Man .,CID:70698382|CHEBI:71514,GTC:G55220VL|CID:70698382|CHEBI:71514,oligomannose,Involved in promotion of protein folding in ER. [PMID:12417032].|High Man glycans are enriched at cell surface during apoptosis.[PMID: 17516205],Relative abundance changes in multiple CDGs [PMID: 30770376][PMID: 28484880],,NBK453033-Chapter 17
HNK-1,GD000109,G54406UD,"The human natural killer-1 (HNK-1) carbohydrate, a unique trisaccharide possessing sulfated glucuronic acid in a non-reducing terminus (HSO3-3GlcAß1-3Galß1-4GlcNAc-), is highly expressed in the nervous system and its spatiotemporal expression is strictly regulated.[PMID:28709864]",28709864|31738061|26738850|30306736|11070366|20855890|18024472|22669261|19729452|19796667|26850637|11769463|18263654|15843379|26659409|9003039|22087768|21771787|15173636|9210489|15258996|17924534|26382082|16171882|18802400|9800516|7504418|11891229|15232286|9013478|21621858|11677051|18668221|11414798|19265195|8982638|8798480|28403522|17935701|1691305|10998116|9364602|7528651|12472892|21176892|28416698|19389918|28427937|25450311,"An amino trisaccharide consisting of a 3-O-sulfo-β-D-glucuronic acid residue, a D-galactosyl residue and an N-acetyl-D-glucosamine residue (at the reducing end) in a linear sequence.[CHEBI:60322]",GlycoEpitope:EP0001|CID:46906103|CHEBI:60322|GGM.00058,GTC:G54406UD |GlycoEpitope:EP0001|CID:46906103|CHEBI:60322,HNK-1 carbohydrate epitope| CD57|HNK-1 antigen,learning and memory[GlycoEpitope:EP0001]|neural crest cell migration[GlycoEpitope:EP0001]|neurite extension[GlycoEpitope:EP0001]|neuron-astrocyte adhesion[GlycoEpitope:EP0001],schizophrenia-like psychosis[GlycoEpitope:EP0001]|neuropathy[GlycoEpitope:EP0001]|exfoliation syndrome[GlycoEpitope:EP0001]|secondary cataract[GlycoEpitope:EP0001],https://en.wikipedia.org/wiki/N-linked_glycosylation,NBK453033-Chapter 17
Hybrid,GD000110,G16828VN,"A hybrid-type N-glycan was accessed by total synthesis, converted to an oxazoline, and used as a donor substrate with both wild type Endo M and an N175Q glycosynthase Endo M mutant allowing the convergent synthesis of a glycosylated amino acid bearing a hybrid N-glycan structure. [PMID:27058295]",27058295|15044398|28714086|29578688|26999365,An N-linked glycan in which the Manα1-6 arm of the trimannosyl core Manα1-3(Manα1-6)Manβ1-4GlcNAcβ1–4GlcNAcβ1–Asn-X-Ser/Thr is substituted by one or more additional Man residues and the Manα1-3 arm is substituted by a GlcNAc residue added by GlcNAcT1. The GlcNAc linked to the a3 Man can be extended in the same manner as any complex glycan antenna. The trimannosyl core can also be core fucosylated and/or bisected by the addition of a GlcNAc to the 3 position of the α-linked Man residue.[NBK453020-Chapter 9],CID:91847108|CHEBI:147471,GTC:G16828VN|CID:91847108|CHEBI:147471,,,,,NBK453020
i antigen,GD000111,G00058MO|G46055MA,"Inasmuch as the hybridoma was established by hybridization of lymphocytes derived from regional lymph nodes of lung cancer, and the antigen was found in the patient's lung cancer tissue, the i antigen in lung cancer is probably recognized as a tumor-associated antigen by the host's immune cell system.[PMID:2422274]",2422274|15679458|21912254|12468428|28508465|6203982|30728302|8449405|9122902|10360315|6159787|6183759|518539|6715951|21933024,,GlycoMotif:GGM.000004|GlycoMotif:GGM.000002,GlycoMotif:GGM.000004|GlycoMotif:GGM.000002|GTC:G46055MA|GTC:G00058MO,Type 2 LN2,,,,
I antigen,GD000112,G56045WU,"The I antigen is formed by the action of an enzyme (a glycosyltransferase), which adds branches onto the i antigen.[PMID:15679458]",15679458|21912254|30705292|33403394|6715951|12468428|6088627|6159787,"N-[(2R,3R,4R,5S,6R)-5-[(2S,3R,4S,5S,6R)-4-[(2R,3R,4R,5S,6R)-3-Acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-6-[[(2R,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide (CHEBI:151390) is a amino sugar.[CHEBI:151390]",GlycoMotif:GGM.000003|GlycoEpitope:EP0138|CID:91852915|CHEBI:151390,GlycoMotif:GGM.000003|GlycoEpitope:EP0138|GTC:G56045WU|CID:91852915|CHEBI:151390,,,,,NBK453020-Chapter 9
Isoglobotetraosylceramide,GD000113,G57710SU,"Furthermore, isoglobotetraosylceramide seems to play a direct role in the metastatic process since the blocking of exposed antigen with monoclonal antibodies, or their Fab fragments, results in a highly significant decrease in lung colony formation.[PMID:8504431]",1396705|8504431|2713378|3489485|18997175|7053385|3379797|2465279|3743633|11479210,,GlycoMotif:GGM.000071|CID:91849719|KEGG:G03211|CHEBI:148232|SugarBind_Ligand:17,GlycoMotif:GGM.000071|GTC:G57710SU|CID:91849719|KEGG:G03211|CHEBI:148232|SugarBind_Ligand:17,,a marker for highly metastatic cells in rat mammary adenocarcinomas[PMID:8504431],Actinomycosis[SugarBind_Ligand:17],https://en.wikipedia.org/wiki/Ii_antigen_system,
Keratan sulfate,GD000114, G82109MW,"Compared to the other classes of glycosaminoglycans (GAGs), that is, chondroitin/dermatan sulfate, heparin/heparan sulfate and hyaluronan, keratan sulfate (KS), have the least known of its interactive properties.[PMID: 30578672]",29340594|30578672|12512857|29625490|25325967|30025865|29924315|9549787|11030741|28078490|8298243|29096187|30059256|26958998|26773479|22840010|15597951|28110685|28535934|2942429|18234072|8641829|8940154|2027120|30849116|41589|6238957|1907283|7722002|29275050|24274541|2527236|1731862|8991509|24291704|10517185|6451953|7688312|8663590|139406|25770829|25036480|9275006|25179279|32627425|26903438|27941632|12807022|32266652|21624346,"A sulfated glycosaminoglycan, a linear polymer that consists of the repeating disaccharide [3)-β-Gal-(1→4)-β-GlcNAc-(1→] and containing sulfo groups located at random positions.[CHEBI:60924]",CHEBI:60924|CID:446715|GlycoEpitope:EP0085,CHEBI:60924|CID:446715|GlycoEpitope: EP0085|GTC: G82109MW,keratan| Kerato sulphate|Kerato sulfate|Keratan sulphate|kerato 6'-sulfate|keratan 6'-sulfate|Kerato 6'-sulphate|Keratan 6'-sulphate,Tissue hydration.[PMID: 11030741],,,
LacdiNac,GD000115,G31736BK,We previously showed that the expression level of the LacdiNAc group in N-glycans decreases dramatically during the progression of human breast cancer.[PMID:25003135],25003135|31711843|31145522|27601469|30669833|25210040|24633693|24755437|22653491|30898876|7758724|22474328|21305673|31558607|31271862|28549117|26213980|9134425|25561735|31756927|31170332|16282603|15265923|32267274|23015818|32676595|16728562|10814702|9591048|22245701|29751628|22997242|15535969|31911241|30622255|29888905|30236114|30298790|29373511|22298779|19179461|31606752|15653684|16403022|11162373|32005658|30529570,An amino disaccharide consisting of N-acetylglucosamine having an N-acetylgalactosaminyl resiude attached at the 4-position via a β-linkage.[CHEBI:61190],GlycoEpitope:P0150|CID:25257164|CHEBI:61190|GlycoMotif:GGM.000016,GTC:G31736BK|GlycoEpitope:P0150|CID:25257164|CHEBI:61190|GlycoMotif:GGM.000016,LDN,Has a role of epitope.[CHEBI:61190],,,
Lactosylceramide,GD000116,G84224TW,"In the 1970s, a neutral glycosphingolipid lactosylceramide (LacCer) was found to bind specifically to several kinds of microorganisms.[PMID:30175814]",30175814|26900161|30502090|29624959|28444900|25408340|31801289|29099167|25595946|32592089|27729551|24658420|25216636|25638276|9499377|17986153|8143857|23801329|18077097|32708181|15346887|19015977|18393821|25279740|21057870|11915327|25212460|23882130|11915329|8195125|8808768|3396945|22128256|6733104|24968752|32518749|30688114|7666005|8200356|24718572|6193809|25781947|12383912|26086247|30606995|12419803,"Glycosphingolipids which contain as their polar head group a lactose moiety bound in glycosidic linkage to the hydroxyl group of ceramide. Their accumulation in tissue, due to a defect in lactosylceramide beta-galactosidase, is the cause of lactosylceramidosis.[MeSH:D007790]",MeSH:D007790|GlycoMotif:GGM.000064|GlycoEpitope:EP0078|SugarBind_Ligand:3,GTC:G84224TW|MeSH:D007790|GlycoMotif:GGM.000064|GlycoEpitope:EP0078|SugarBind_Ligand:3,LacCer|Lc2|CDH,mammalian cell receptors for Neisseria gonorrhoeae recognized by Helicobacter pylori[GlycoEpitope:EP0078],"chronic gastritis[GlycoEpitope:EP0078,SugarBind_Ligand:3]|duodenal ulcers[GlycoEpitope:EP0078]|gastric adenocarcinoma[GlycoEpitope:EP0078,SugarBind_Ligand:3]|gastric ulcers[GlycoEpitope:EP0078]|Pleuropneumonia[SugarBind_Ligand:3]|Porcine fibrinohemorrhagic necrotizing pleuropneumonia[SugarBind_Ligand:3]|Actinomycosis[SugarBind_Ligand:3]|Pertussis[SugarBind_Ligand:3]|Candidiasis[SugarBind_Ligand:3]|Cryptococcosis[SugarBind_Ligand:3]|Hemorrhagic colitis[SugarBind_Ligand:3]|Peptic ulcers[SugarBind_Ligand:3]|Histoplasmosis[SugarBind_Ligand:3]|Pharyngitis[SugarBind_Ligand:3]|Tracheobronchitis[SugarBind_Ligand:3]|Gonorrhea[SugarBind_Ligand:3]|Sporotrichosis[SugarBind_Ligand:3]|Plague[SugarBind_Ligand:3]|Diarrhea[SugarBind_Ligand:3]",,NBK453033-Chapter 17
Lactotriaosylceramide,GD000117,G06239NA,"The results showed that AML patients had higher expression of the GSL lactotriaosylceramide (Lc3), GM3 and neolactotetraosylceramide (nLc4) in their bone marrow than did the healthy donors (P < 0.05), especially the M1 subtype of AML.[PMID:22411838]",22411838|20693232|26104834|27435676|26405105|32340400|25241919|23404501|32452379|2960671|272643|27711049|33202844|4060695|27638607|20547865|2277039|6238026|8448388|8489255|9363437|11836161|6892925|1551117|6811267|8059935|7861954|11283017|8514762|1291049|3805024|10816509|12393713|6417117|11054095|8781973|1692829,A linear amino trisaccharide consisting of β-D-glucose at the reducing end having an N-acetyl-β-D-glucosaminyl-(1→3)-β-D-galactosyl group attached at the 4-position.[CHEBI:61758],GlycoMotif:GGM.000067|MeSH:C025575|CID:10230777|CHEBI:61758|SugarBind_Ligand:20,GTC:G06239NA|GlycoMotif:GGM.000067|MeSH:C025575|CID:10230777|CHEBI:61758|SugarBind_Ligand:20,Lc3|Lc(3)Cer|Lc_3,"acute myeloid leukemia-associated glycosphingolipids lactotriaosylceramide, GM3 and neolactotetraosylceramide are possibly involved in initiation and differentiation of acute myeloid leukemia.[PMID:22411838]",Pharyngitis[SugarBind_Ligand:20]|Tracheobronchitis[SugarBind_Ligand:20]|Gonorrhea[SugarBind_Ligand:20]|Actinomycosis[SugarBind_Ligand:20]|Diarrhea[SugarBind_Ligand:20],,NBK453042
LcGg4,GD000118,G62554JH,"Murine leukemia cells (M1), in their undifferentiated state, have been characterized by the presence of cancer-associated lactoganglio-series glycolipids, one of which was identified as lactogangliotetraosylceramide (LcGg4) having a novel branching at the II-Gal of lactosylceramide through GlcNAc beta 1----3 and GalNAc beta 1----4 linkage, as shown below (Kannagi, R., Levery, S.B., and Hakomori, S. (1984) J. Biol. Chem., 259, 8444-8451): GalNAc beta 1----4 Gal beta 1----4Glc beta 1----1Cer GlcNac beta 1----3 [PMID: 3805024]",3805024|33395290,"N-[(2S,3R,4R,5R,6R)-2-[(2R,3S,4R,5R,6S)-4-[(2S,3R,4R,5S,6R)-3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide is an oligosaccharide.[CHEBI:152521]",GlycoMotif:GGM.000075|CID:91850076|CHEBI:152521|GlycoEpitope:EP0035,GlycoMotif:GGM.000075|GTC:G62554JH|CID:91850076|CHEBI:152521|GlycoEpitope:EP0035,,,,,NBK453042
